timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage
2025-06-07 13:34:28,NODE_1,-40,26.50,49.00,658,422.00,0.00,6.85
2025-06-07 13:34:38,NODE_1,-40,26.40,49.00,662,431.00,0.00,6.66
2025-06-07 13:34:48,NODE_1,-40,26.00,49.00,669,431.00,0.00,6.72
2025-06-07 13:34:58,NODE_1,-40,26.40,49.00,661,427.00,0.00,6.92
2025-06-07 13:35:08,NODE_1,-40,26.50,49.00,659,423.00,0.00,6.70
2025-06-07 13:35:18,NODE_1,-40,26.60,49.00,665,432.00,0.00,6.77
2025-06-07 13:35:28,NODE_1,-40,26.00,49.00,681,429.00,0.00,6.85
2025-06-07 13:35:38,NODE_1,-40,26.80,48.00,678,428.00,0.00,6.85
2025-06-07 13:35:48,NODE_1,-40,26.10,49.00,665,432.00,0.00,6.90
2025-06-07 13:35:58,NODE_1,-40,26.10,49.00,665,432.00,0.00,6.76
2025-06-07 13:36:08,NODE_1,-40,26.30,49.00,672,429.00,0.00,6.81
2025-06-07 13:36:18,NODE_1,-40,26.30,49.00,672,429.00,0.00,6.81
2025-06-07 13:36:28,NODE_1,-40,26.60,48.00,673,433.00,0.00,6.66
2025-06-07 13:36:38,NODE_1,-40,26.50,48.00,686,429.00,0.00,6.80
2025-06-07 13:36:48,NODE_1,-40,26.50,49.00,661,432.00,0.00,6.92
2025-06-07 13:36:58,NODE_1,-40,26.90,49.00,656,432.00,0.00,6.81
2025-06-07 13:37:18,NODE_1,-40,26.40,49.00,656,426.00,0.00,6.68
2025-06-07 13:37:29,NODE_1,-40,26.40,49.00,666,419.00,0.00,6.93
2025-06-07 13:37:39,NODE_1,-40,26.10,49.00,656,424.00,0.00,6.93
2025-06-07 13:37:49,NODE_1,-40,26.10,49.00,655,430.00,0.00,6.70
2025-06-07 13:37:59,NODE_1,-40,26.60,49.00,657,429.00,0.00,6.84
2025-06-07 13:38:09,NODE_1,-40,26.50,49.00,667,419.00,0.00,6.79
2025-06-07 13:38:19,NODE_1,-40,26.00,49.00,659,427.00,0.00,6.84
2025-06-07 13:38:29,NODE_1,-40,26.20,49.00,667,418.00,0.00,6.75
2025-06-07 13:38:39,NODE_1,-40,26.30,48.00,679,425.00,0.00,6.79
2025-06-07 13:38:49,NODE_1,-40,26.20,48.00,663,422.00,0.00,6.73
2025-06-07 13:38:59,NODE_1,-40,26.40,48.00,641,422.00,0.00,6.82
2025-06-07 13:39:09,NODE_1,-40,26.80,48.00,641,421.00,0.00,6.79
2025-06-07 13:39:19,NODE_1,-40,26.70,48.00,643,421.00,0.00,6.90
2025-06-07 13:39:29,NODE_1,-40,26.60,48.00,610,432.00,0.00,6.72
2025-06-07 13:39:39,NODE_1,-40,26.10,49.00,603,432.00,0.00,6.78
2025-06-07 13:39:49,NODE_1,-40,26.40,48.00,601,423.00,0.00,6.87
2025-06-07 13:39:59,NODE_1,-40,26.80,48.00,610,426.00,0.00,6.84
2025-06-07 13:40:09,NODE_1,-40,26.60,48.00,554,431.00,0.00,6.78
2025-06-07 13:40:19,NODE_1,-40,26.40,48.00,565,432.00,0.00,6.88
2025-06-07 13:40:29,NODE_1,-40,26.50,48.00,630,430.00,0.00,6.80
2025-06-07 13:40:39,NODE_1,-40,26.00,48.00,631,431.00,0.00,6.67
2025-06-07 13:40:49,NODE_1,-40,26.30,48.00,629,432.00,0.00,6.71
2025-06-07 13:40:59,NODE_1,-40,26.20,48.00,631,429.00,0.00,6.66
2025-06-07 13:41:09,NODE_1,-40,26.40,48.00,629,423.00,0.00,6.65
2025-06-07 13:41:19,NODE_1,-40,26.80,48.00,640,432.00,0.00,6.91
2025-06-07 13:41:29,NODE_1,-40,26.20,48.00,643,427.00,0.00,6.70
2025-06-07 13:41:39,NODE_1,-40,26.30,48.00,631,429.00,0.00,6.90
2025-06-07 13:41:50,NODE_1,-40,26.30,48.00,633,423.00,0.00,6.86
2025-06-07 13:42:00,NODE_1,-40,26.90,48.00,652,429.00,0.00,6.68
2025-06-07 13:42:10,NODE_1,-40,26.40,48.00,635,428.00,0.00,6.67
2025-06-07 13:42:20,NODE_1,-40,26.20,48.00,656,429.00,0.00,6.68
2025-06-07 13:42:30,NODE_1,-40,26.20,48.00,699,422.00,0.00,6.77
2025-06-07 13:42:40,NODE_1,-40,26.20,48.00,746,427.00,0.00,6.86
2025-06-07 13:42:50,NODE_1,-40,26.30,48.00,682,431.00,0.00,6.89
2025-06-07 13:43:00,NODE_1,-40,26.70,48.00,704,432.00,0.00,6.79
2025-06-07 13:43:10,NODE_1,-40,26.70,48.00,615,425.00,0.00,6.91
2025-06-07 13:43:20,NODE_1,-40,26.10,48.00,636,418.00,0.00,6.63
2025-06-07 13:43:30,NODE_1,-40,26.20,48.00,633,425.00,0.00,6.75
2025-06-07 13:43:40,NODE_1,-40,26.30,48.00,564,417.00,0.00,6.85
